sample	target	ratio	CN	corrected.CN
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	21	0.991379310344828	1.98275862068966	2.01420150512107
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	22	0.956896551724138	1.91379310344828	2.01023681346557
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	23	0.767241379310345	1.53448275862069	1.08446135937502
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	24	0.827586206896552	1.6551724137931	1.09548522527683
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	1	1.02666666666667	2.05333333333333	2.02125132155763
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	2	0.947368421052632	1.89473684210526	1.89468778574156
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	3	0.986666666666667	1.97333333333333	1.97327006804705
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	4	1.05	2.1	1.99310861796009
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	5	0.973509933774834	1.94701986754967	1.92196168500606
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	6	1.02666666666667	2.05333333333333	1.94411547506956
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	7	1.00666666666667	2.01333333333333	1.9840559505282
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	8	1.01333333333333	2.02666666666667	2.03834419153159
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	9	1.03	2.06	1.99713115062063
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	10	0.966887417218543	1.93377483443709	1.93374072840522
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	11	1.07333333333333	2.14666666666667	2.08305791094342
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	12	0.986754966887417	1.97350993377483	2.00602790706367
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	13	1.02	2.04	2.01101570921305
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	14	1.01333333333333	2.02666666666667	1.90171666460089
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	15	0.973509933774834	1.94701986754967	1.97899098325831
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	16	0.960526315789474	1.92105263157895	1.99674595856516
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	17	1.02	2.04	2.04035446216491
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	18	1.01333333333333	2.02666666666667	2.02653956215521
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	19	1.04	2.08	2.05621214396347
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	20	0.946666666666667	1.89333333333333	1.9522304605269
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	21	0.986666666666667	1.97333333333333	2.00477621776475
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	22	0.927152317880795	1.85430463576159	1.95074834577889
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	23	0.701986754966887	1.40397350993377	0.953952110688107
s_C_ME3AUU_P002_d__s_C_ME3AUU_N002_d.snp_pileup.gz	24	0.693333333333333	1.38666666666667	0.826979478150388
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	1	1	2	1.9679179882243
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	2	1	2	1.9999509436363
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	3	0.985294117647059	1.97058823529412	1.97052497000784
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	4	1.01470588235294	2.02941176470588	1.92252038266597
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	5	1	2	1.97494181745639
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	6	1.03676470588235	2.07352941176471	1.96431155350093
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	7	0.992647058823529	1.98529411764706	1.95601673484192
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	8	0.981617647058823	1.96323529411765	1.97491281898257
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	9	1.02941176470588	2.05882352941176	1.99595468003239
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	10	1.01470588235294	2.02941176470588	2.02937765867402
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	11	1	2	1.93639124427675
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	12	1	2	2.03251797328884
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	13	1.04411764705882	2.08823529411765	2.0592510033307
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	14	1.05882352941176	2.11764705882353	1.99269705675775
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	15	0.955882352941177	1.91176470588235	1.94373582159099
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	16	0.948529411764706	1.89705882352941	1.97275215051563
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	17	1.00735294117647	2.01470588235294	2.01506034451786
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	18	0.970588235294118	1.94117647058824	1.94104936607678
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	19	1.03676470588235	2.07352941176471	2.04974155572818
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	20	0.970588235294118	1.94117647058824	2.00007359778181
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	21	0.970588235294118	1.94117647058824	1.97261935501965
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	22	0.941176470588235	1.88235294117647	1.97879665119377
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	23	0.727941176470588	1.45588235294118	1.00586095369551
s_C_JP3JTX_P001_d__s_C_JP3JTX_N001_d.snp_pileup.gz	24	0.786764705882353	1.57352941176471	1.01384222324843
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	1	1.02702702702703	2.05405405405405	2.02197204227835
s_C_5KK0TU_P001_d__s_C_5KK0TU_N001_d.snp_pileup.gz	2	0.986486486486487	1.97297297297297	1.97292391660927
