Y_call	sample.id	length	ploidy	purity	min.segment	max.segment
intact_Y_chrom	TCGA-06-0195	23841300	3.44135689629423	0.627023665338172	2787000	26628300
Y_chrom_loss	TCGA-06-0209	23845805	2.3570035093818	0.479646209488557	2787519	26633324
intact_Y_chrom	TCGA-06-0211	23847726	2.13900301272056	0.844485550344304	2786950	26634676
intact_Y_chrom	TCGA-06-0214	23845955	1.94432610048059	0.648849660301182	2787053	26633400
intact_Y_chrom	TCGA-06-0219	23847703	1.89642184001307	0.634100410128367	2786973	26634676
intact_Y_chrom	TCGA-06-0221	23847714	1.98198861222143	0.309163327356294	2786962	26634676
intact_Y_chrom	TCGA-06-0238	23847632	2.04765830177007	0.744123937184687	2787044	26634676
intact_Y_chrom	TCGA-06-0240	23847750	2	0	2786973	26634723
intact_Y_chrom	TCGA-06-0644	23841374	2.06924895506333	0.58927037822037	2786976	26628350
intact_Y_chrom	TCGA-06-0646	23846274	1.93057008938475	0.804137555316481	2787050	26633324
intact_Y_chrom	TCGA-06-0648	23847725	2.03058323877292	0.530397772177206	2786984	26634709
intact_Y_chrom	TCGA-06-0686	23847714	2.52349993811906	0.373294299437631	2786962	26634676
intact_Y_chrom	TCGA-06-0743	23847644	2.21082181318699	0.809436589998217	2786976	26634620
intact_Y_chrom	TCGA-06-0744	23840846	2.05280730349348	0.860208702019536	2787404	26628250
intact_Y_chrom	TCGA-06-0745	23846290	1.90759883579941	0.766663563892431	2787060	26633350
intact_Y_chrom	TCGA-06-0747	23847632	2.0586975437613	0.888976721192991	2787044	26634676
intact_Y_chrom	TCGA-06-0749	23846383	1.95257140809925	0.562352279189653	2786962	26633345
intact_Y_chrom	TCGA-06-0750	23846345	1.90866638674724	0.670322912080148	2787000	26633345
intact_Y_chrom	TCGA-06-0877	23847714	2.24409478798491	0.701074227082916	2786962	26634676
intact_Y_chrom	TCGA-06-0878	23841266	1.92663332570819	0.746053952034521	2786984	26628250
intact_Y_chrom	TCGA-06-0879	23847576	2.11909048327013	0.745563131548294	2787044	26634620
intact_Y_chrom	TCGA-06-0881	23847785	2	0	2786938	26634723
