"sample"	"mutations"	"cnas_oncokb"	"cnas_all"
"P-0018800-T01-IM6"	10	3	400
"P-0018921-T01-IM6"	3	3	398
"P-0019197-T01-IM6"	4	0	426
"P-0019259-T01-IM6"	3	0	439
"P-0019271-T01-IM6"	8	2	417
"P-0019351-T01-IM6"	6	1	434
"P-0019413-T01-IM6"	6	5	425
"P-0019499-T01-IM6"	6	0	447
"P-0019657-T01-IM6"	5	4	416
"P-0019691-T01-IM6"	32	1	410
"P-0019754-T01-IM6"	4	6	410
"P-0019796-T01-IM6"	2	0	454
"P-0019919-T01-IM6"	5	6	410
"P-0019955-T01-IM6"	14	0	450
"P-0020070-T01-IM6"	6	0	420
"P-0020109-T01-IM6"	7	10	421
"P-0020148-T01-IM6"	11	10	433
"P-0020169-T01-IM6"	7	10	408
"P-0020175-T01-IM6"	5	0	441
"P-0020226-T01-IM6"	1	0	435
"P-0020249-T01-IM6"	12	4	423
"P-0020499-T01-IM6"	14	0	391
"P-0020586-T01-IM6"	5	0	424
"P-0020591-T01-IM6"	24	7	411
"P-0020616-T01-IM6"	49	0	443
"P-0020732-T01-IM6"	3	8	408
"P-0020814-T01-IM6"	3	4	394
"P-0020903-T01-IM6"	6	4	438
"P-0021099-T01-IM6"	82	0	442
"P-0021235-T01-IM6"	3	9	415
"P-0021315-T01-IM6"	32	0	435
"P-0021403-T01-IM6"	7	18	397
"P-0021426-T01-IM6"	5	0	432
"P-0021459-T01-IM6"	3	3	448
"P-0022100-T01-IM6"	4	3	451
"P-0022144-T01-IM6"	8	7	432
"P-0022510-T01-IM6"	6	11	418
"P-0022526-T01-IM6"	10	4	384
"P-0022669-T01-IM6"	3	2	408
"P-0022847-T01-IM6"	6	6	448
"P-0022893-T01-IM6"	9	0	422
"P-0022896-T01-IM6"	7	0	446
"P-0022979-T01-IM6"	6	0	421
"P-0023194-T01-IM6"	3	4	394
"P-0023409-T01-IM6"	7	7	419
"P-0023553-T01-IM6"	11	4	425
"P-0023558-T01-IM6"	9	0	427
"P-0023567-T01-IM6"	3	16	396
"P-0023603-T01-IM6"	8	6	377
"P-0023644-T01-IM6"	14	6	425
"P-0023669-T01-IM6"	3	4	431
"P-0023739-T01-IM6"	3	2	436
"P-0023815-T01-IM6"	3	0	446
"P-0024054-T01-IM6"	10	1	454
"P-0024258-T01-IM6"	7	4	416
"P-0024270-T01-IM6"	5	0	445
"P-0024419-T01-IM6"	0	1	429
"P-0024530-T01-IM6"	7	0	421
"P-0024659-T01-IM6"	5	14	355
"P-0024974-T01-IM6"	13	0	447
"P-0025254-T01-IM6"	9	18	379
"P-0025471-T01-IM6"	4	1	437
"P-0025889-T01-IM6"	1	5	395
"P-0025950-T01-IM6"	6	7	384
"P-0026175-T01-IM6"	7	1	423
"P-0026193-T01-IM6"	3	10	411
"P-0026410-T01-IM6"	7	4	431
"P-0026430-T01-IM6"	5	20	361
"P-0027124-T01-IM6"	16	1	394
"P-0027130-T01-IM6"	7	0	413
"P-0027185-T01-IM6"	0	7	436
"P-0027240-T01-IM6"	12	3	395
"P-0027241-T01-IM6"	102	0	452
"P-0027253-T01-IM6"	8	23	340
"P-0027254-T01-IM6"	6	0	433
"P-0027269-T01-IM6"	10	9	440
"P-0027359-T01-IM6"	10	1	382
"P-0027417-T01-IM6"	3	3	429
"P-0027658-T01-IM6"	8	7	429
"P-0027661-T01-IM6"	1	8	422
"P-0027686-T01-IM6"	5	2	442
"P-0027754-T02-IM6"	4	3	445
"P-0027869-T01-IM6"	5	5	378
"P-0028108-T01-IM6"	6	0	446
"P-0028382-T01-IM6"	2	0	436
"P-0028581-T01-IM6"	2	1	452
"P-0028657-T01-IM6"	7	5	407
"P-0028909-T01-IM6"	4	0	448
"P-0029024-T01-IM6"	3	2	435
"P-0029155-T01-IM6"	6	0	452
"P-0029278-T01-IM6"	6	0	443
"P-0029290-T01-IM6"	6	1	429
"P-0029314-T01-IM6"	5	4	392
"P-0029319-T01-IM6"	6	2	409
"P-0029430-T01-IM6"	4	8	410
"P-0029546-T01-IM6"	5	1	438
"P-0029587-T01-IM6"	3	2	446
"P-0029617-T02-IM6"	3	2	442
"P-0029628-T01-IM6"	3	4	424
"P-0029630-T01-IM6"	3	0	442
"P-0029660-T01-IM6"	6	1	413
"P-0029756-T01-IM6"	5	3	438
"P-0029957-T01-IM6"	3	2	424
"P-0029984-T01-IM6"	14	2	389
"P-0030132-T01-IM6"	1	5	435
"P-0030414-T01-IM6"	13	3	431
"P-0030584-T01-IM6"	11	2	432
"P-0030587-T01-IM6"	8	3	407
"P-0030593-T01-IM6"	5	4	436
"P-0030901-T01-IM6"	5	0	447
"P-0030951-T01-IM6"	39	1	422
"P-0031009-T01-IM6"	5	1	424
"P-0031012-T01-IM6"	4	6	435
"P-0031129-T02-IM6"	4	6	399
"P-0031190-T01-IM6"	7	0	437
"P-0031198-T01-IM6"	1	5	429
"P-0031238-T01-IM6"	4	0	428
"P-0031438-T01-IM6"	3	2	412
"P-0031617-T01-IM6"	3	3	418
"P-0031758-T01-IM6"	1	3	433
"P-0031772-T01-IM6"	6	1	433
"P-0031800-T01-IM6"	2	3	425
"P-0031817-T01-IM6"	3	1	454
"P-0031851-T01-IM6"	4	6	412
"P-0032050-T01-IM6"	6	5	426
"P-0032275-T01-IM6"	6	2	404
"P-0032393-T01-IM6"	5	6	405
"P-0032494-T01-IM6"	10	9	400
"P-0032512-T01-IM6"	7	1	412
"P-0032592-T01-IM6"	5	3	425
"P-0032599-T01-IM6"	4	7	438
"P-0032604-T01-IM6"	5	1	428
"P-0032628-T01-IM6"	7	11	417
"P-0032654-T01-IM6"	2	3	438
"P-0032678-T01-IM6"	5	6	383
"P-0032687-T01-IM6"	5	4	427
"P-0032700-T01-IM6"	3	4	443
"P-0032852-T01-IM6"	6	1	451
"P-0033240-T01-IM6"	5	1	411
"P-0033597-T01-IM6"	10	1	442
"P-0033691-T01-IM6"	9	9	412
"P-0033730-T01-IM6"	2	1	451
"P-0033810-T01-IM6"	6	12	419
"P-0033853-T01-IM6"	6	2	437
"P-0033857-T01-IM6"	5	5	409
"P-0033890-T01-IM6"	4	2	447
"P-0033940-T01-IM6"	9	0	417
"P-0033967-T01-IM6"	3	10	421
"P-0034126-T01-IM6"	3	0	429
"P-0034128-T01-IM6"	6	4	429
"P-0034172-T01-IM6"	54	2	447
"P-0034256-T01-IM6"	0	2	395
"P-0034372-T01-IM6"	6	4	397
"P-0034430-T01-IM6"	8	3	440
"P-0034441-T01-IM6"	3	6	403
"P-0034515-T01-IM6"	5	5	408
"P-0034557-T01-IM6"	7	2	410
"P-0034607-T01-IM6"	3	7	411
"P-0034887-T01-IM6"	1	4	427
"P-0034917-T01-IM6"	2	3	418
"P-0034919-T01-IM6"	4	0	438
"P-0034949-T01-IM6"	3	12	454
"P-0035005-T01-IM6"	68	0	455
"P-0035081-T01-IM6"	5	10	423
"P-0035435-T01-IM6"	11	6	401
"P-0035566-T01-IM6"	10	0	454
"P-0035750-T01-IM6"	37	0	447
"P-0035772-T01-IM6"	0	2	425
"P-0035791-T01-IM6"	5	1	415
"P-0035812-T01-IM6"	2	4	346
"P-0035875-T01-IM6"	5	0	436
"P-0035921-T01-IM6"	8	0	440
"P-0036009-T01-IM6"	6	15	420
"P-0036062-T01-IM6"	3	0	436
"P-0036212-T01-IM6"	7	2	420
"P-0036479-T01-IM6"	12	7	379
"P-0036485-T01-IM6"	10	0	435
"P-0036499-T03-IM6"	15	6	407
"P-0036590-T01-IM6"	3	4	426
"P-0036911-T01-IM6"	3	4	443
"P-0036989-T01-IM6"	7	7	434
